latitude,longitude,zipcode,arr_date2,arrest_time,age,sex,race_cat,arrest_type,charge
34.0372,-118.2418,90021,2018-08-12,15:00,52,M,LatinX,Misdemeanor,25620BP
33.9315,-118.2501,90059,2018-08-12,22:00,37,M,Black,Misdemeanor,14601.1AVC
34.0649,-118.3451,90036,2018-08-12,22:20,28,M,Black,Misdemeanor,602(O)(1)PC
34.1976,-118.4094,91605,2018-08-12,18:40,28,M,LatinX,Misdemeanor,11377(A)HS
33.9941,-118.2915,90037,2018-08-12,19:30,23,M,LatinX,Felony,422(A)PC
34.321,-118.4883,91342,2018-08-12,19:48,36,M,LatinX,Misdemeanor,47.15ALAMC
34.2355,-118.5361,91324,2018-08-12,1:35,62,M,LatinX,Misdemeanor,23152(A)VC
34.1837,-118.4465,91401,2018-08-12,15:00,36,M,Other,Misdemeanor,273.5(A)PC
34.084,-118.3547,90046,2018-08-12,15:00,28,M,Black,Misdemeanor,330PC
34.1425,-118.3643,91604,2018-08-12,8:00,53,M,White,Misdemeanor,41.27(C)LAM
34.1427,-118.4052,91604,2018-08-12,9:50,55,F,White,Misdemeanor,41.45(C)LAM
34.0265,-118.4279,90034,2018-08-12,22:05,35,M,White,Misdemeanor,853.7PC
34.0407,-118.268,90015,2018-08-12,21:55,18,M,LatinX,Felony,10851(A)VC
33.9957,-118.4786,90291,2018-08-12,0:10,56,M,White,Misdemeanor,853.7PC
34.2095,-118.4287,91402,2018-08-12,4:30,18,M,LatinX,Felony,459PC
34.0472,-118.309,90006,2018-08-12,11:50,32,M,LatinX,Misdemeanor,23152(B)VC
34.0605,-118.2814,90057,2018-08-12,16:30,56,M,LatinX,Infraction,41.27CLAMC
34.1869,-118.3987,91606,2018-08-12,1:10,79,M,White,Infraction,41.45(C)LAM
34.1,-118.3044,90027,2018-08-12,7:50,36,M,LatinX,Misdemeanor,853.7PC
34.0577,-118.2318,90012,2018-08-12,0:30,30,M,Black,Misdemeanor,243(E)(1)PC
34.0558,-118.2663,90017,2018-08-12,19:40,33,M,LatinX,Infraction,25620(A)BP
33.9642,-118.2783,90003,2018-08-12,14:35,24,M,LatinX,Misdemeanor,23152(F)VC
34.0696,-118.2612,90026,2018-08-12,3:18,42,F,Other,Misdemeanor,23152(A)VC
34.0549,-118.2778,90057,2018-08-12,19:10,31,M,LatinX,Infraction,25620(A)BP
34.0566,-118.2681,90017,2018-08-12,19:15,48,M,LatinX,Infraction,4127CLAMC
34.1938,-118.5884,91303,2018-08-12,18:55,35,M,White,Felony,646.9(B)PC
34.2011,-118.5448,91335,2018-08-12,18:15,50,M,LatinX,Misdemeanor,12500(A)VC
34.0534,-118.2745,90057,2018-08-12,20:35,57,M,LatinX,Infraction,4127CLAMC
34.1827,-118.4465,91401,2018-08-12,10:20,27,M,Other,Misdemeanor,20002(A)VC
34.0605,-118.2814,90057,2018-08-12,16:30,36,M,LatinX,Infraction,41.27(C)LAM
34.0558,-118.2663,90017,2018-08-12,19:40,33,M,LatinX,Infraction,4127CLAMC
34.2095,-118.4287,91402,2018-08-12,4:15,24,M,LatinX,Felony,459PC
33.9551,-118.2869,90044,2018-08-12,1:45,19,F,Black,Misdemeanor,243(A)PC
34.174,-118.4662,91411,2018-08-12,13:30,29,M,White,Misdemeanor,459.5PC
34.0442,-118.2439,90013,2018-08-12,13:10,39,F,Black,Misdemeanor,25620BP
34.0735,-118.3571,90036,2018-08-12,13:15,24,M,Other,Misdemeanor,647(A)PC
33.7798,-118.2656,90744,2018-08-12,21:20,45,M,White,Felony,211PC
33.9863,-118.3399,90043,2018-08-12,15:45,42,M,Black,Felony,459PC
33.9933,-118.4765,90291,2018-08-12,13:25,57,M,Black,Infraction,25620(A)BP
33.9829,-118.2783,90003,2018-08-12,15:00,16,M,Black,Felony,211PC
34.0442,-118.2439,90013,2018-08-12,22:33,45,M,White,Misdemeanor,11364(A)HS
34.1867,-118.4013,91606,2018-08-12,10:20,56,M,White,Infraction,2562(A)B&P
33.932,-118.2652,90061,2018-08-12,20:25,57,M,LatinX,Felony,422(A)PC
33.9933,-118.4765,90291,2018-08-12,16:00,33,M,Black,Infraction,41.27(C)LAM
34.0457,-118.2665,90015,2018-08-12,20:30,36,F,White,Misdemeanor,11377(A)HS
34.0335,-118.2737,90007,2018-08-12,2:37,24,F,Black,Misdemeanor,23152(A)VC
33.996,-118.3089,90062,2018-08-12,0:15,22,F,Black,Misdemeanor,653.22(A)PC
34.017,-118.3477,90016,2018-08-12,19:05,26,M,LatinX,Felony,245(A)(1)PC
34.2012,-118.5317,91335,2018-08-12,1:50,29,M,LatinX,Felony,21810PC
34.2217,-118.4328,91402,2018-08-12,21:50,36,M,Other,Felony,11358HS
33.781,-118.2983,90710,2018-08-12,3:00,27,M,Black,Misdemeanor,23152(A)VC
34.0918,-118.3092,90029,2018-08-12,16:50,33,M,LatinX,Felony,273.5(A)PC
34.1016,-118.3387,90028,2018-08-12,1:25,19,F,LatinX,Misdemeanor,243(A)PC
34.0806,-118.2176,90031,2018-08-12,16:30,22,M,LatinX,Misdemeanor,459.5PC
34.0571,-118.3825,90035,2018-08-12,4:30,30,M,LatinX,Felony,273.5(A)PC
33.9842,-118.3002,90044,2018-08-12,23:45,32,F,Black,Felony,23153(A)VC
33.9869,-118.467,90291,2018-08-12,14:30,47,M,White,Infraction,25620(A)BP
34.2227,-118.5361,91324,2018-08-12,0:25,19,M,LatinX,Felony,211PC
34.0412,-118.2474,90014,2018-08-12,12:30,47,F,LatinX,Infraction,25620ABP
34.321,-118.4883,91342,2018-08-12,19:15,18,M,LatinX,Misdemeanor,47.15ALAMC
34.0736,-118.217,90031,2018-08-12,0:15,23,M,LatinX,Felony,212.5(C)PC
34.0572,-118.3482,90036,2018-08-12,8:20,20,F,LatinX,Misdemeanor,243(E)(1)PC
34.1722,-118.3659,91601,2018-08-12,8:45,32,M,Other,Misdemeanor,12500(A)VC
33.997,-118.4761,90291,2018-08-12,12:55,29,M,White,Infraction,41.18(A)LAM
34.0907,-118.3374,90038,2018-08-12,20:20,41,M,LatinX,Misdemeanor,11377(A)HS
34.0515,-118.2424,90012,2018-08-12,23:25,41,M,White,Felony,470APC
34.2039,-118.4662,91405,2018-08-12,22:30,33,M,Black,Misdemeanor,647(A)PC
33.9909,-118.4765,90291,2018-08-12,15:45,26,M,Other,Misdemeanor,466PC
34.1052,-118.3252,90028,2018-08-12,20:30,37,F,White,Misdemeanor,243(A)PC
34.2458,-118.4209,91331,2018-08-12,2:45,47,M,LatinX,Misdemeanor,23152(A)VC
34.2095,-118.4287,91402,2018-08-12,4:30,30,M,LatinX,Felony,459PC
34.1938,-118.5884,91303,2018-08-12,12:45,45,M,White,Felony,211PC
